APARECIDA;CAMPUS APARECIDA
CALCULO 3A;INSTITUTO DE FISICA;35N23
EDO;INSTITUTO DE FISICA;35N45
CALCULO 2B;CIENCIAS ECONOMICAS;46N23
PROBABILIDADE E ESTATISTICA B;CIENCIAS ECONOMICAS;46N45
ESTATISTICA DESCRITIVA E PROBABILIDADE;ADMINISTRACAO;46N23
ESTATISTICA INFERENCIAL;ADMINISTRACAO;46N45
NOCOES DE ATUARIA;CIENCIAS CONTABEIS;6N23
ESTATISTICA;MATEMATICA 35N34
MATEMATICA FINANCEIRA;SISTEMAS DE INFORMACAO;35N45
PROBABILIDADE;MATEMATICA 35N45

