02 ; geometria analitica                    ; ciencia da computacao    ; 46m23  ; 2022_2
02 ; algebra linear                         ; instituto de quimica     ; 46m45  ; 2022_2
02 ; nocoes de atuaria                      ; ciencias contabeis       ; 6m23   ; 2022_2
02 ; calculo 2a                             ; instituto de fisica      ; 246t12 ; 2022_2
02 ; calculo 2a                             ; instituto de fisica      ; 246t34 ; 2022_2
02 ; calculo 2a                             ; engenharia mecanica      ; 246t12 ; 2022_2
02 ; algebra linear                         ; engenharia mecanica      ; 24t34  ; 2022_2
02 ; probabilidade                          ; matematica               ; 246t12 ; 2022_2
02 ; calculo 2b                             ; agronomia                ; 46t23  ; 2022_2
02 ; calculo 2b                             ; agronomia                ; 46t45  ; 2022_2
02 ; calculo 1b                             ; agronomia                ; 25t23  ; 2022_2
02 ; calculo 1b                             ; agronomia                ; 25t45  ; 2022_2
02 ; algebra linear                         ; instituto de fisica      ; 24t12  ; 2022_2
02 ; algebra linear                         ; instituto de fisica      ; 24t34  ; 2022_2
02 ; calculo 2b                             ; engenharia florestal     ; 24t23  ; 2022_2
02 ; algebra linear                         ; inteligencia artificial  ; 24t23  ; 2022_2
02 ; calculo 3a                             ; instituto de quimica     ; 35t45  ; 2022_2
02 ; estatistica 1                          ; gestao da informacao     ; 35t23  ; 2022_2
02 ; calculo numerico                       ; engenharia de alimentos  ; 36t23  ; 2022_2
02 ; estatistica                            ; matematica               ; 35t34  ; 2022_2
02 ; calculo numerico                       ; engenharia da mecanica   ; 35t12  ; 2022_2
02 ; geometria analitica                    ; estatistica              ; 35t34  ; 2022_2
02 ; probabilidade e estatistica a          ; engenharia mecanica      ; 35t12  ; 2022_2
02 ; calculo 1a                             ; instituto de fisica      ; 246n23 ; 2022_2
02 ; algebra linear                         ; sistemas de informacao   ; 24n23  ; 2022_2
02 ; algebra linear                         ; engenharia de software   ; 24n45  ; 2022_2
02 ; probabilidade e estatistica a          ; engenharia de software   ; 24n23  ; 2022_2
02 ; probabilidade e estatistica a          ; sistemas de informacao   ; 24n45  ; 2022_2
02 ; calculo 2b                             ; administracao            ; 35n23  ; 2022_2
02 ; calculo 2b                             ; instituto de quimica     ; 35n45  ; 2022_2
02 ; calculo 1b                             ; administracao            ; 35n45  ; 2022_2
02 ; calculo 1c                             ; ciencias contabeis       ; 35n23  ; 2022_2
02 ; calculo 3a                             ; instituto de fisica      ; 35n23  ; 2022_2
02 ; edo                                    ; instituto de fisica      ; 35n45  ; 2022_2
02 ; calculo 2b                             ; ciencias economicas      ; 46n23  ; 2022_2
02 ; probabilidade e estatistica b          ; ciencias economicas      ; 46n45  ; 2022_2
02 ; estatistica descritiva e probabilidade ; administracao            ; 46n23  ; 2022_2
02 ; estatistica inferencial                ; administracao            ; 46n45  ; 2022_2
02 ; nocoes de atuaria                      ; ciencias contabeis       ; 6n23   ; 2022_2
02 ; estatistica                            ; matematica               ; 35n34  ; 2022_2
02 ; matematica financeira                  ; sistemas de informacao   ; 35n45  ; 2022_2
02 ; probabilidade                          ; matematica               ; 35n45  ; 2022_2
