02 ; probabilidade e estatistica a          ; instituto de fisica       ; 24t12  ; 2023_1
02 ; edo                                    ; instituto de fisica       ; 24t34  ; 2023_1
02 ; edo                                    ; engenharia mecanica       ; 24t56  ; 2023_1
02 ; calculo 3a                             ; engenharia mecanica       ; 24t34  ; 2023_1
02 ; calculo 3a                             ; instituto de fisica       ; 24t56  ; 2023_1
02 ; calculo 3a                             ; instituto de quimica      ; 35t23  ; 2023_1
02 ; calculo 1c                             ; arquitetura               ; 35t45  ; 2023_1
02 ; edo                                    ; engenharia de alimentos   ; 35t23  ; 2023_1
02 ; calculo numerico                       ; instituto de fisica       ; 35t34  ; 2023_1
02 ; calculo 1c                             ; biomedicina               ; 46t23  ; 2023_1
02 ; calculo 1c                             ; biotecnologia             ; 46t45  ; 2023_1
02 ; calculo 2b                             ; agronomia                 ; 46t23  ; 2023_1
02 ; calculo 2b                             ; agronomia                 ; 46t45  ; 2023_1
02 ; calculo 1c                             ; ciencias ambientais       ; 46t23  ; 2023_1
02 ; calculo 1a                             ; engenharia de software    ; 246n23 ; 2023_1
02 ; calculo 1a                             ; sistemas de informacao    ; 246n45 ; 2023_1
02 ; calculo 2a                             ; instituto de fisica       ; 246n23 ; 2023_1
02 ; algebra linear                         ; ciencias economicas       ; 24n45  ; 2023_1
02 ; calculo 2b                             ; administracao             ; 35n23  ; 2023_1
02 ; calculo 1b                             ; instituto de quimica      ; 35n45  ; 2023_1
02 ; geometria analitica                    ; instituto de fisica       ; 35n45  ; 2023_1
02 ; calculo 1b                             ; ciencias economicas       ; 35n23  ; 2023_1
02 ; calculo 1b                             ; administracao             ; 35n45  ; 2023_1
02 ; estatistica descritiva e probabilidade ; administracao             ; 46n23  ; 2023_1
02 ; estatistica                            ; ciencias contabeis        ; 46n45  ; 2023_1
02 ; estatistica inferencial                ; administracao             ; 46n45  ; 2023_1
